max_trials,f1,f1_ratio
5,37.54764,0.7895624014299233
10,40.94162,0.8609319735043633
15,41.978519999999996,0.8827362001892545
20,42.602459999999994,0.8958565871096623
25,43.0761,0.9058164230890547
30,45.70988,0.9612002943959626
35,45.90224,0.9652452949216697
40,45.90224,0.9652452949216697
45,46.69274,0.9818681526653349
50,46.91472,0.9865360109347072
55,47.12352,0.9909267164336032
60,47.133539999999996,0.9911374198296709
65,47.133539999999996,0.9911374198296709
70,47.161,0.9917148564819683
75,47.383680000000005,0.9963974345494692
80,47.393060000000006,0.9965946798443909
85,47.393060000000006,0.9965946798443909
90,47.393060000000006,0.9965946798443909
95,47.57654,1.0004529492166965
100,47.58724,1.0006779518452318
