max_trials,f1,f1_ratio
5,67.3845,0.8559424836933396
10,70.65114,0.8974365358111412
15,77.58904,0.9855642707890073
20,77.58904,0.9855642707890073
25,77.59506,0.9856407390235693
30,77.67850000000001,0.9867006243212176
35,77.73554,0.9874251671948734
40,77.73554,0.9874251671948734
45,77.73554,0.9874251671948734
50,77.73554,0.9874251671948734
55,77.73554,0.9874251671948734
60,77.73554,0.9874251671948734
65,77.8181,0.9884738744117219
70,78.00474,0.9908446437304305
75,78.17558,0.9930147156893255
80,78.17558,0.9930147156893255
85,78.17558,0.9930147156893255
90,78.17558,0.9930147156893255
95,78.17558,0.9930147156893255
100,78.17558,0.9930147156893255
