max_trials,f1,f1_ratio
5,66.44272,0.8439796508119987
10,71.7568,0.911481032194143
15,73.18692,0.9296469377774673
20,73.18692,0.9296469377774673
25,73.25326,0.9304896126413932
30,73.25326,0.9304896126413932
35,74.90990000000001,0.9515328578414873
40,74.90990000000001,0.9515328578414873
45,74.90990000000001,0.9515328578414873
50,74.90990000000001,0.9515328578414873
55,75.79784,0.9628117954157166
60,75.79784,0.9628117954157166
65,75.79784,0.9628117954157166
70,75.79784,0.9628117954157166
75,75.79784,0.9628117954157166
80,75.79784,0.9628117954157166
85,75.93716,0.9645814888441484
90,75.93716,0.9645814888441484
95,75.94286,0.9646538923220558
100,76.09008,0.9665239344303943
