max_trials,f1,f1_ratio
5,76.76376,0.8941760261669963
10,80.63904,0.9393168904326918
15,82.78732,0.9643409444067811
20,82.78732,0.9643409444067811
25,85.22337999999999,0.9927171788474126
30,85.22337999999999,0.9927171788474126
35,85.2313,0.9928094342831449
40,85.26635999999999,0.9932178276640503
45,85.27428,0.9933100830997826
50,85.31414,0.9937743888659802
55,85.31414,0.9937743888659802
60,85.31414,0.9937743888659802
65,85.31414,0.9937743888659802
70,85.31414,0.9937743888659802
75,85.31414,0.9937743888659802
80,85.31414,0.9937743888659802
85,85.31414,0.9937743888659802
90,85.3231,0.9938787586518592
95,85.3231,0.9938787586518592
100,85.3231,0.9938787586518592
