max_trials,f1,f1_ratio
5,54.67096,0.9236722550081351
10,56.7808,0.9593182482467093
15,57.744460000000004,0.9755993965064279
20,57.87622,0.9778254970965743
25,58.17242,0.9828298306940346
30,58.362159999999996,0.9860355101564995
35,58.53766,0.98900060315567
40,58.53766,0.98900060315567
45,58.53766,0.98900060315567
50,58.53766,0.98900060315567
55,58.53766,0.98900060315567
60,58.53766,0.98900060315567
65,58.53766,0.98900060315567
70,58.574940000000005,0.9896304531101378
75,58.58448,0.9897916325244515
80,58.58448,0.9897916325244515
85,58.59748,0.9900112690429085
90,58.59748,0.9900112690429085
95,58.59748,0.9900112690429085
100,58.59748,0.9900112690429085
