max_trials,f1,f1_ratio
5,38.82768,0.6919058395851525
10,51.001239999999996,0.9088376071422207
15,52.31028,0.9321645847069515
20,55.39790000000001,0.9871857013026357
25,55.39790000000001,0.9871857013026357
30,55.39790000000001,0.9871857013026357
35,55.39790000000001,0.9871857013026357
40,55.398199999999996,0.9871910472762264
45,55.39852,0.9871967496480567
50,55.39852,0.9871967496480567
55,55.39882,0.9872020956216477
60,55.39882,0.9872020956216477
65,55.399440000000006,0.9872131439670689
70,55.402499999999996,0.9872676728976959
75,55.402499999999996,0.9872676728976959
80,55.402499999999996,0.9872676728976959
85,55.402499999999996,0.9872676728976959
90,55.402499999999996,0.9872676728976959
95,55.409940000000006,0.9874002530427501
100,55.420519999999996,0.9875887877113887
