max_trials,f1,f1_ratio
5,67.3845,0.8559424836933396
10,70.65114,0.8974365358111412
15,72.21968,0.9173607026948066
20,72.50183999999999,0.9209448018748689
25,73.21692,0.9300280087138222
30,74.6889,0.9487256352770069
35,75.07072,0.9535756521076398
40,76.66544,0.9738323668950976
45,77.55666,0.9851529682250351
50,77.61132,0.9858472794710736
55,77.61132,0.9858472794710736
60,77.61132,0.9858472794710736
65,77.61132,0.9858472794710736
70,77.61132,0.9858472794710736
75,77.61132,0.9858472794710736
80,77.61132,0.9858472794710736
85,77.61132,0.9858472794710736
90,77.83619999999999,0.9887037872099891
95,77.83619999999999,0.9887037872099891
100,77.90304,0.9895528132561877
