max_trials,f1,f1_ratio
5,54.67096,0.9236722550081351
10,56.7808,0.9593182482467093
15,57.975699999999996,0.9795062233162749
20,58.07844,0.9812420276167579
25,58.080960000000005,0.9812846033111051
30,58.207119999999996,0.9834160912471468
35,58.36412,0.9860686245854361
40,58.503099999999996,0.9884167079189102
45,58.516099999999994,0.9886363444373673
50,58.5952,0.9899727481765945
55,58.61638000000001,0.9903305867505117
60,58.6222,0.990428916330313
65,58.63972,0.990724918776726
70,58.64852,0.9908735958046047
75,58.64852,0.9908735958046047
80,58.657320000000006,0.9910222728324833
85,58.69166,0.9916024511435461
90,58.694539999999996,0.9916511090799426
95,58.694539999999996,0.9916511090799426
100,58.694539999999996,0.9916511090799426
