max_trials,f1,f1_ratio
5,91.89894,0.9685184658237613
10,93.1217,0.9814050740835591
15,93.98638,0.9905178946125934
20,94.04158,0.991099644731947
25,94.07316,0.9914324648183453
30,94.11258000000001,0.9918479102840143
35,94.11656,0.9918898553107358
40,94.11656,0.9918898553107358
45,94.57516000000001,0.9967230184400034
50,94.57516000000001,0.9967230184400034
55,94.57791999999999,0.996752105945971
60,94.59402,0.9969217830641158
65,94.59402,0.9969217830641158
70,94.59402,0.9969217830641158
75,94.59402,0.9969217830641158
80,94.59402,0.9969217830641158
85,94.59402,0.9969217830641158
90,94.59402,0.9969217830641158
95,94.68938,0.9979267774732021
100,94.69744,0.9980117214217888
