max_trials,f1,f1_ratio
5,41.0309,0.680972360065988
10,44.54964,0.739371388170626
15,47.6098,0.790159559460545
20,47.96304,0.796022133190824
25,50.12066,0.831831232760309
30,50.84662,0.8438796814785556
35,51.55552,0.8556449926477179
40,51.55552,0.8556449926477179
45,52.95634,0.8788938051628622
50,52.95634,0.8788938051628622
55,53.26469999999999,0.8840115246608489
60,53.26469999999999,0.8840115246608489
65,53.51268,0.8881271430325924
70,54.591139999999996,0.9060258840165035
75,54.591139999999996,0.9060258840165035
80,54.68561999999999,0.9075939283094397
85,54.68561999999999,0.9075939283094397
90,54.68561999999999,0.9075939283094397
95,55.57616,0.9223738411442343
100,55.57616,0.9223738411442343
