FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
AverageValueLength,0.0,ALL,D5,AutoML
MaxValuesPerEntity,0.0,ALL,D5,AutoML
AverageValueTokens,0.0,ALL,D5,AutoML
NumberOfMissingNVpairs,0.0,ALL,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D5,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D5,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D5,AutoML
AverageNVPairsPerEntity,0.0,ALL,D5,AutoML
NumberOfNameValuePairs,0.0,ALL,D5,AutoML
NumberOfDistinctValues,0.0,ALL,D5,AutoML
NumberOfAttributes,0.0,ALL,D5,AutoML
InputEntityProfiles,0.0,ALL,D5,AutoML
lm_st5,-0.0016857027768004,ALL,D5,AutoML
lm_smpnet,-0.0022035618541601,ALL,D5,AutoML
lm_word2vec,-0.0178987501007584,ALL,D5,AutoML
clustering_ConnectedComponentsClustering,1.8735217562384776,ALL,D4,AutoML
threshold,0.1524512795323179,ALL,D4,AutoML
lm_st5,0.003302097929705,ALL,D4,AutoML
clustering_KiralyMSMApproximateClustering,0.0016403087877041,ALL,D4,AutoML
AverageValueTokens,0.0,ALL,D4,AutoML
AverageValueLength,0.0,ALL,D4,AutoML
lm_sent_glove,0.0,ALL,D4,AutoML
lm_sdistilroberta,0.0,ALL,D4,AutoML
lm_fasttext,0.0,ALL,D4,AutoML
MaxValuesPerEntity,0.0,ALL,D4,AutoML
lm_word2vec,0.0,ALL,D4,AutoML
NumberOfMissingNVpairs,0.0,ALL,D4,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D4,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D4,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D4,AutoML
AverageNVPairsPerEntity,0.0,ALL,D4,AutoML
NumberOfNameValuePairs,0.0,ALL,D4,AutoML
NumberOfDistinctValues,0.0,ALL,D4,AutoML
NumberOfAttributes,0.0,ALL,D4,AutoML
InputEntityProfiles,0.0,ALL,D4,AutoML
k,-7.291392013764053e-06,ALL,D4,AutoML
clustering_UniqueMappingClustering,-9.134724870019097e-05,ALL,D4,AutoML
lm_sminilm,-0.001223773304359,ALL,D4,AutoML
lm_smpnet,-0.0061936740398178,ALL,D4,AutoML
clustering_ConnectedComponentsClustering,0.5980592410193265,GRIDSEARCH,D10,AutoML
threshold,0.0388669906883527,GRIDSEARCH,D10,AutoML
lm_sdistilroberta,0.0377468544671803,GRIDSEARCH,D10,AutoML
lm_sent_glove,0.0241620306466658,GRIDSEARCH,D10,AutoML
lm_sminilm,0.00345664446655,GRIDSEARCH,D10,AutoML
lm_smpnet,0.0013771712252478,GRIDSEARCH,D10,AutoML
k,4.83161342599292e-05,GRIDSEARCH,D10,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D10,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D10,AutoML
AverageValueLength,0.0,GRIDSEARCH,D10,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D10,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D10,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D10,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D10,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D10,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D10,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D10,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D10,AutoML
clustering_UniqueMappingClustering,-0.0086874515868658,GRIDSEARCH,D10,AutoML
lm_st5,-0.0207158310751654,GRIDSEARCH,D10,AutoML
lm_fasttext,-0.021908527896004,GRIDSEARCH,D10,AutoML
lm_word2vec,-0.0314484587620578,GRIDSEARCH,D10,AutoML
clustering_KiralyMSMApproximateClustering,-0.0369100400139013,GRIDSEARCH,D10,AutoML
clustering_ConnectedComponentsClustering,0.0778713630430287,GRIDSEARCH,D6,AutoML
threshold,0.0173794476410277,GRIDSEARCH,D6,AutoML
lm_st5,0.0169877621066953,GRIDSEARCH,D6,AutoML
k,5.061623814199834e-05,GRIDSEARCH,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D6,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D6,AutoML
AverageValueLength,0.0,GRIDSEARCH,D6,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D6,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D6,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D6,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D6,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D6,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D6,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D6,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D6,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D6,AutoML
lm_fasttext,-0.0104562428315208,GRIDSEARCH,D6,AutoML
lm_smpnet,-0.0105563165828389,GRIDSEARCH,D6,AutoML
clustering_UniqueMappingClustering,-0.0168042797410683,GRIDSEARCH,D6,AutoML
lm_sdistilroberta,-0.0213344498404614,GRIDSEARCH,D6,AutoML
lm_sminilm,-0.0340749021337176,GRIDSEARCH,D6,AutoML
lm_sent_glove,-0.0478554402332818,GRIDSEARCH,D6,AutoML
lm_word2vec,-0.058824361223904,GRIDSEARCH,D6,AutoML
clustering_KiralyMSMApproximateClustering,-0.1024445894148417,GRIDSEARCH,D6,AutoML
threshold,0.0290680178254648,GRIDSEARCH,D3,AutoML
clustering_ConnectedComponentsClustering,4.464819860421354e-05,GRIDSEARCH,D3,AutoML
k,5.018764847286583e-06,GRIDSEARCH,D3,AutoML
clustering_UniqueMappingClustering,3.330674413803969e-06,GRIDSEARCH,D3,AutoML
clustering_KiralyMSMApproximateClustering,3.0925456468766654e-06,GRIDSEARCH,D3,AutoML
lm_smpnet,0.0,GRIDSEARCH,D3,AutoML
lm_sminilm,0.0,GRIDSEARCH,D3,AutoML
lm_sent_glove,0.0,GRIDSEARCH,D3,AutoML
lm_sdistilroberta,0.0,GRIDSEARCH,D3,AutoML
lm_fasttext,0.0,GRIDSEARCH,D3,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D3,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D3,AutoML
AverageValueLength,0.0,GRIDSEARCH,D3,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D3,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D3,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D3,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D3,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D3,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D3,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D3,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D3,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D3,AutoML
lm_word2vec,0.0,GRIDSEARCH,D3,AutoML
lm_st5,-4.425586058620645e-06,GRIDSEARCH,D3,AutoML
clustering_ConnectedComponentsClustering,0.0798203251223197,GRIDSEARCH,D9,AutoML
clustering_KiralyMSMApproximateClustering,0.0145170692838032,GRIDSEARCH,D9,AutoML
lm_fasttext,0.0073664524728382,GRIDSEARCH,D9,AutoML
lm_sent_glove,0.0028581050834584,GRIDSEARCH,D9,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D9,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D9,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D9,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D9,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D9,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D9,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D9,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D9,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D9,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D9,AutoML
AverageValueLength,0.0,GRIDSEARCH,D9,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D9,AutoML
k,-1.6051873242273196e-05,GRIDSEARCH,D9,AutoML
lm_word2vec,-0.0022978504164883,GRIDSEARCH,D9,AutoML
lm_sminilm,-0.0035000315215948,GRIDSEARCH,D9,AutoML
lm_smpnet,-0.0056522897856499,GRIDSEARCH,D9,AutoML
clustering_UniqueMappingClustering,-0.0075168273638086,GRIDSEARCH,D9,AutoML
lm_sdistilroberta,-0.0085241133055462,GRIDSEARCH,D9,AutoML
threshold,-0.0108868549859185,GRIDSEARCH,D9,AutoML
lm_st5,-0.0186925703158574,GRIDSEARCH,D9,AutoML
clustering_ConnectedComponentsClustering,0.0237903810084977,GRIDSEARCH,D2,AutoML
clustering_UniqueMappingClustering,0.0189869705704784,GRIDSEARCH,D2,AutoML
clustering_KiralyMSMApproximateClustering,0.0052615443391311,GRIDSEARCH,D2,AutoML
threshold,0.0009461916005947,GRIDSEARCH,D2,AutoML
k,4.1556049125257566e-05,GRIDSEARCH,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D2,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D2,AutoML
AverageValueLength,0.0,GRIDSEARCH,D2,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D2,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D2,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D2,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D2,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D2,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D2,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D2,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D2,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D2,AutoML
lm_sdistilroberta,-0.0015583121987406,GRIDSEARCH,D2,AutoML
lm_smpnet,-0.0016575184036744,GRIDSEARCH,D2,AutoML
lm_sminilm,-0.0022535439810605,GRIDSEARCH,D2,AutoML
lm_sent_glove,-0.0070060715302464,GRIDSEARCH,D2,AutoML
lm_st5,-0.0090350976956202,GRIDSEARCH,D2,AutoML
lm_fasttext,-0.0160811945280873,GRIDSEARCH,D2,AutoML
lm_word2vec,-0.0184752388317078,GRIDSEARCH,D2,AutoML
clustering_ConnectedComponentsClustering,0.2738773818595852,GRIDSEARCH,D8,AutoML
lm_st5,0.0888170373518505,GRIDSEARCH,D8,AutoML
threshold,0.0253198965849168,GRIDSEARCH,D8,AutoML
lm_smpnet,0.0072669077989601,GRIDSEARCH,D8,AutoML
k,0.000319434563671,GRIDSEARCH,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D8,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D8,AutoML
AverageValueLength,0.0,GRIDSEARCH,D8,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D8,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D8,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D8,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D8,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D8,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D8,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D8,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D8,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D8,AutoML
lm_sminilm,-0.0115753891526637,GRIDSEARCH,D8,AutoML
lm_sdistilroberta,-0.0166471323583635,GRIDSEARCH,D8,AutoML
clustering_KiralyMSMApproximateClustering,-0.0474607259159991,GRIDSEARCH,D8,AutoML
clustering_UniqueMappingClustering,-0.0664433350287541,GRIDSEARCH,D8,AutoML
lm_sent_glove,-0.1252290976622401,GRIDSEARCH,D8,AutoML
lm_fasttext,-0.1322638242012988,GRIDSEARCH,D8,AutoML
lm_word2vec,-0.1884645639488202,GRIDSEARCH,D8,AutoML
clustering_ConnectedComponentsClustering,0.1035879859282356,GRIDSEARCH,D1,AutoML
lm_word2vec,0.0755016152796271,GRIDSEARCH,D1,AutoML
clustering_UniqueMappingClustering,0.0408623289249236,GRIDSEARCH,D1,AutoML
lm_sent_glove,0.0332937035242942,GRIDSEARCH,D1,AutoML
lm_sminilm,0.004657272900936,GRIDSEARCH,D1,AutoML
clustering_KiralyMSMApproximateClustering,0.0022033755929827,GRIDSEARCH,D1,AutoML
lm_smpnet,0.001128658632545,GRIDSEARCH,D1,AutoML
k,0.0006874597918685,GRIDSEARCH,D1,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D1,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D1,AutoML
AverageValueLength,0.0,GRIDSEARCH,D1,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D1,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D1,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D1,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D1,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D1,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D1,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D1,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D1,AutoML
lm_sdistilroberta,-0.0008940707301899,GRIDSEARCH,D1,AutoML
lm_fasttext,-0.0017061875579674,GRIDSEARCH,D1,AutoML
threshold,-0.0116026870909397,GRIDSEARCH,D1,AutoML
lm_st5,-0.0156936697043741,GRIDSEARCH,D1,AutoML
clustering_ConnectedComponentsClustering,0.1331270900375973,GRIDSEARCH,D7,AutoML
lm_fasttext,0.0709086458302552,GRIDSEARCH,D7,AutoML
threshold,0.027117688316448,GRIDSEARCH,D7,AutoML
lm_smpnet,0.0135218406035237,GRIDSEARCH,D7,AutoML
lm_st5,0.0001992060568303,GRIDSEARCH,D7,AutoML
k,4.679774268669945e-05,GRIDSEARCH,D7,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D7,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D7,AutoML
AverageValueLength,0.0,GRIDSEARCH,D7,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D7,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D7,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D7,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D7,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D7,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D7,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D7,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D7,AutoML
lm_sminilm,-0.0007732927733097,GRIDSEARCH,D7,AutoML
clustering_KiralyMSMApproximateClustering,-0.0164134921459679,GRIDSEARCH,D7,AutoML
lm_sdistilroberta,-0.0217197020067652,GRIDSEARCH,D7,AutoML
clustering_UniqueMappingClustering,-0.0290865828690424,GRIDSEARCH,D7,AutoML
lm_sent_glove,-0.0327064660989099,GRIDSEARCH,D7,AutoML
lm_word2vec,-0.0405812592944791,GRIDSEARCH,D7,AutoML
lm_word2vec,0.0031478270436963,GRIDSEARCH,D5,AutoML
lm_sminilm,0.0012587439724674,GRIDSEARCH,D5,AutoML
clustering_UniqueMappingClustering,0.0003625390338299,GRIDSEARCH,D5,AutoML
lm_smpnet,7.346808594919097e-05,GRIDSEARCH,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D5,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D5,AutoML
AverageValueLength,0.0,GRIDSEARCH,D5,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D5,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D5,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D5,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D5,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D5,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D5,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D5,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D5,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D5,AutoML
k,-0.000244131036761,GRIDSEARCH,D5,AutoML
lm_sent_glove,-0.0005991098476863,GRIDSEARCH,D5,AutoML
lm_sdistilroberta,-0.0006562892241672,GRIDSEARCH,D5,AutoML
clustering_KiralyMSMApproximateClustering,-0.001342144329398,GRIDSEARCH,D5,AutoML
threshold,-0.0016790914059611,GRIDSEARCH,D5,AutoML
lm_st5,-0.0019030623996569,GRIDSEARCH,D5,AutoML
lm_fasttext,-0.0024150329230494,GRIDSEARCH,D5,AutoML
clustering_ConnectedComponentsClustering,-0.0946676638243733,GRIDSEARCH,D5,AutoML
clustering_ConnectedComponentsClustering,0.2026334795196642,GRIDSEARCH,D4,AutoML
lm_fasttext,0.0207520489122339,GRIDSEARCH,D4,AutoML
lm_st5,0.018427793310607,GRIDSEARCH,D4,AutoML
lm_word2vec,0.0165676273399853,GRIDSEARCH,D4,AutoML
lm_sent_glove,0.0098309656195556,GRIDSEARCH,D4,AutoML
threshold,0.0042040156582442,GRIDSEARCH,D4,AutoML
lm_smpnet,0.0037683624647202,GRIDSEARCH,D4,AutoML
k,4.969903579681301e-05,GRIDSEARCH,D4,AutoML
AverageNVpairsPerAttribute,0.0,GRIDSEARCH,D4,AutoML
AverageDistinctValuesPerAttribute,0.0,GRIDSEARCH,D4,AutoML
NumberOfMissingNVpairs,0.0,GRIDSEARCH,D4,AutoML
AverageValueLength,0.0,GRIDSEARCH,D4,AutoML
AverageDistinctValuesPerEntity,0.0,GRIDSEARCH,D4,AutoML
MaxValuesPerEntity,0.0,GRIDSEARCH,D4,AutoML
AverageNVPairsPerEntity,0.0,GRIDSEARCH,D4,AutoML
NumberOfNameValuePairs,0.0,GRIDSEARCH,D4,AutoML
NumberOfDistinctValues,0.0,GRIDSEARCH,D4,AutoML
NumberOfAttributes,0.0,GRIDSEARCH,D4,AutoML
InputEntityProfiles,0.0,GRIDSEARCH,D4,AutoML
AverageValueTokens,0.0,GRIDSEARCH,D4,AutoML
lm_sdistilroberta,-0.0064706508980821,GRIDSEARCH,D4,AutoML
lm_sminilm,-0.0081339672871963,GRIDSEARCH,D4,AutoML
clustering_KiralyMSMApproximateClustering,-0.0976633908162094,GRIDSEARCH,D4,AutoML
clustering_UniqueMappingClustering,-0.1250344451961179,GRIDSEARCH,D4,AutoML
