FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
AverageNVpairsPerAttribute,0.0,OPTUNA,D9,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D9,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D9,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D9,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D9,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D9,AutoML
NumberOfAttributes,0.0,OPTUNA,D9,AutoML
InputEntityProfiles,0.0,OPTUNA,D9,AutoML
AverageValueTokens,0.0,OPTUNA,D9,AutoML
lm_sent_glove,-0.000563939907074,OPTUNA,D9,AutoML
lm_sdistilroberta,-0.0006273476983011,OPTUNA,D9,AutoML
lm_sminilm,-0.0011939330694731,OPTUNA,D9,AutoML
clustering_ConnectedComponentsClustering,0.0217383873560584,OPTUNA,D2,AutoML
lm_st5,0.0142231301990874,OPTUNA,D2,AutoML
threshold,0.0056127836367001,OPTUNA,D2,AutoML
clustering_UniqueMappingClustering,0.0040725033253866,OPTUNA,D2,AutoML
clustering_KiralyMSMApproximateClustering,0.0031316258700936,OPTUNA,D2,AutoML
k,0.0016365072631039,OPTUNA,D2,AutoML
lm_fasttext,0.0006753983625117,OPTUNA,D2,AutoML
lm_sminilm,0.0005027144887964,OPTUNA,D2,AutoML
lm_smpnet,7.713493295389285e-05,OPTUNA,D2,AutoML
AverageValueLength,0.0,OPTUNA,D2,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D2,AutoML
AverageValueTokens,0.0,OPTUNA,D2,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D2,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D2,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D2,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D2,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D2,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D2,AutoML
NumberOfAttributes,0.0,OPTUNA,D2,AutoML
InputEntityProfiles,0.0,OPTUNA,D2,AutoML
lm_sdistilroberta,-9.615849938526822e-09,OPTUNA,D2,AutoML
lm_sent_glove,-2.794946512105767e-05,OPTUNA,D2,AutoML
lm_word2vec,-0.0002182789745043,OPTUNA,D2,AutoML
clustering_ConnectedComponentsClustering,0.0573188118491712,OPTUNA,D8,AutoML
lm_st5,0.0186786595952007,OPTUNA,D8,AutoML
lm_sminilm,0.0007757542497288,OPTUNA,D8,AutoML
k,0.0004172073728361,OPTUNA,D8,AutoML
clustering_KiralyMSMApproximateClustering,0.0002236868129688,OPTUNA,D8,AutoML
clustering_UniqueMappingClustering,1.9258422798928976e-05,OPTUNA,D8,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D8,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D8,AutoML
AverageValueLength,0.0,OPTUNA,D8,AutoML
AverageValueTokens,0.0,OPTUNA,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D8,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D8,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D8,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D8,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D8,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D8,AutoML
NumberOfAttributes,0.0,OPTUNA,D8,AutoML
InputEntityProfiles,0.0,OPTUNA,D8,AutoML
lm_smpnet,-0.0001217429068678,OPTUNA,D8,AutoML
lm_sdistilroberta,-0.000239356849192,OPTUNA,D8,AutoML
lm_word2vec,-0.0004624317881662,OPTUNA,D8,AutoML
lm_sent_glove,-0.0005165341719603,OPTUNA,D8,AutoML
lm_fasttext,-0.0006310782267864,OPTUNA,D8,AutoML
threshold,-0.0140031595969631,OPTUNA,D8,AutoML
lm_fasttext,0.0147554454378844,OPTUNA,D1,AutoML
lm_st5,0.0036676307020337,OPTUNA,D1,AutoML
clustering_KiralyMSMApproximateClustering,0.0017651586989181,OPTUNA,D1,AutoML
lm_word2vec,0.0009883754955453,OPTUNA,D1,AutoML
lm_sminilm,0.0005046553090868,OPTUNA,D1,AutoML
k,0.0003115376653325,OPTUNA,D1,AutoML
lm_sent_glove,0.0001285034620126,OPTUNA,D1,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D1,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D1,AutoML
InputEntityProfiles,0.0,OPTUNA,D1,AutoML
NumberOfAttributes,0.0,OPTUNA,D1,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D1,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D1,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D1,AutoML
AverageValueLength,0.0,OPTUNA,D1,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D1,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D1,AutoML
AverageValueTokens,0.0,OPTUNA,D1,AutoML
lm_sdistilroberta,-8.439072136567915e-06,OPTUNA,D1,AutoML
lm_smpnet,-8.627771565867803e-05,OPTUNA,D1,AutoML
clustering_UniqueMappingClustering,-0.0002376383335693,OPTUNA,D1,AutoML
clustering_ConnectedComponentsClustering,-0.0313766699204819,OPTUNA,D1,AutoML
threshold,-0.0358971607850874,OPTUNA,D1,AutoML
clustering_ConnectedComponentsClustering,0.0147149280698701,OPTUNA,D7,AutoML
lm_fasttext,0.003680562855091,OPTUNA,D7,AutoML
lm_smpnet,0.0002709306495802,OPTUNA,D7,AutoML
clustering_KiralyMSMApproximateClustering,0.0002395478896155,OPTUNA,D7,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D7,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D7,AutoML
AverageValueLength,0.0,OPTUNA,D7,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D7,AutoML
AverageValueTokens,0.0,OPTUNA,D7,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D7,AutoML
